               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.065131,            0.014723,            0.036607,             0.13731,            0.084775,            0.016708,           0.0034238,             0.10466,             0.11018,             0.04092,           0.0032959,           0.0032959,            0.070337
                   1,            0.040934,           0.0078586,            0.035169,             0.13743,               0.274,            0.051559,            0.011381,            0.089687,            0.089114,            0.037307,           0.0066073,           0.0066073,            0.040315
                   2,            0.037086,           0.0069178,             0.03489,           0.0098865,             0.24242,           0.0027652,          0.00030495,             0.11021,             0.49002,            0.052314,           0.0098967,           0.0098967,            0.010271
                   3,            0.034404,           0.0067157,            0.034721,             0.37607,             0.48232,              0.4189,             0.20023,             0.05433,            0.096111,             0.03635,           0.0099008,           0.0099008,           0.0099008
                   4,            0.032263,           0.0062542,             0.03491,             0.35885,             0.92306,             0.53126,             0.34736,            0.031758,            0.012276,            0.034531,           0.0099008,           0.0099008,           0.0099008
                   5,             0.02968,           0.0059649,            0.034746,             0.35119,             0.91316,             0.56092,              0.3094,             0.03872,            0.015947,            0.034159,           0.0098677,           0.0098677,           0.0098677
                   6,            0.030201,           0.0060647,              0.0344,             0.45991,             0.13754,            0.098824,            0.032196,            0.096809,            0.093542,            0.040931,           0.0098347,           0.0098347,           0.0098347
                   7,            0.029453,           0.0058806,            0.034049,             0.36096,             0.92677,             0.62172,              0.3887,            0.026597,             0.01159,            0.032859,           0.0098016,           0.0098016,           0.0098016
                   8,            0.029315,           0.0059812,            0.032581,             0.43455,             0.78724,             0.61509,             0.38257,            0.028987,            0.012205,            0.031116,           0.0097685,           0.0097685,           0.0097685
                   9,            0.028933,           0.0059446,            0.031599,               0.387,             0.84765,             0.54348,             0.30998,            0.034602,            0.015832,            0.039507,           0.0097355,           0.0097355,           0.0097355
                  10,            0.030044,           0.0060074,            0.028825,             0.42147,             0.71575,             0.58455,             0.34227,            0.040795,            0.016176,             0.05818,           0.0097024,           0.0097024,           0.0097024
                  11,            0.030246,           0.0061917,            0.028255,             0.45379,             0.80499,              0.6506,             0.39926,            0.032233,            0.012719,            0.035597,           0.0096693,           0.0096693,           0.0096693
                  12,            0.030202,           0.0060383,             0.02691,             0.54767,              0.7492,             0.69372,             0.43552,             0.03232,            0.012905,            0.029822,           0.0096363,           0.0096363,           0.0096363
                  13,            0.029585,           0.0058918,            0.026448,             0.67692,             0.74202,             0.76877,             0.49765,            0.025708,            0.011154,             0.02222,           0.0096032,           0.0096032,           0.0096032
                  14,            0.029933,           0.0058972,            0.025313,             0.55224,             0.72169,              0.6972,             0.45541,            0.028667,            0.012094,            0.026897,           0.0095701,           0.0095701,           0.0095701
                  15,            0.029183,           0.0058605,            0.024579,              0.6132,             0.77622,              0.7257,             0.46624,            0.027507,            0.011584,            0.023293,           0.0095371,           0.0095371,           0.0095371
                  16,            0.028328,           0.0057661,            0.024766,             0.53868,             0.77058,             0.71981,             0.45111,             0.03057,            0.012018,            0.031314,            0.009504,            0.009504,            0.009504
                  17,            0.028951,           0.0057051,            0.023601,             0.68973,              0.7585,             0.80084,             0.51507,            0.027043,            0.011351,            0.020645,           0.0094709,           0.0094709,           0.0094709
                  18,            0.028139,           0.0058226,            0.023243,             0.67911,             0.73147,             0.78614,              0.5339,            0.025554,            0.011305,            0.021074,           0.0094379,           0.0094379,           0.0094379
                  19,            0.027986,           0.0056883,            0.023508,             0.65447,             0.76585,             0.78992,             0.52465,            0.025961,            0.011015,             0.02105,           0.0094048,           0.0094048,           0.0094048
